,dataset,sequence,delentropy,blur,brightness distance,t1,t2,t3,r1,r2,r3
0,euroc,MH_05_difficult,0.09705481676632832,,,-0.047469516707990066,-0.03493336167475495,-0.00420031381385853,0.029169444899417876,-0.0002872362939285631,-0.0020493272791881267
1,euroc,MH_05_difficult,0.17276767006806254,,,0.0009029298135732052,0.06663499865631305,-0.007591109884079145,0.01969877717888862,0.001967342185080953,0.0008348552582750164
2,euroc,V1_01_easy,0.1066054306858442,,,0.0003389937162699544,0.012475369867517917,-0.014197927350185366,0.00125284730364164,-7.600624279133817e-05,0.0065586278998722896
3,euroc,V2_01_easy,0.1073043783446802,,,0.006724258856283698,-0.0012019810693279951,-0.002315183081721421,0.013151173194195578,-0.0035026281401733203,0.020346333728797805
4,euroc,V2_02_medium,0.08569132455493572,,,-0.08412054804060135,-0.16820292638336995,-0.02432727746191387,-0.1309356650110803,0.011950474294373702,0.0053711458103790745
5,euroc,MH_04_difficult,0.2102945514421209,,,0.12496792080237767,-0.018709279332940885,0.014145779834223104,0.00208733712505295,-0.0019865909259874715,0.007413128127411314
6,euroc,V2_02_medium,0.06675203734886126,,,0.01777376139860052,-0.010855218842576614,-0.0030225819677935123,0.0017922045720524086,0.0047742980481859905,-0.006010792724462494
7,euroc,MH_01_easy,0.18306483178555163,,,0.022371755514506216,0.009004252825259587,-0.004904642371268598,0.014777329746180649,-0.0007592593118103633,-0.0018994262465854327
8,euroc,MH_02_easy,0.25230673687652166,,,-0.01668034646151858,-0.006103164993750091,-0.006996563487347914,-0.0008173855764499413,0.0012613716517847731,-0.0002351335556017692
9,euroc,MH_02_easy,0.20067456020164123,,,-0.018904850629445445,-0.022335559364247613,0.005162076601106865,0.0024596379305611717,-0.010233889001455655,-0.0009657905589866672
10,euroc,V1_03_difficult,0.031756919075650716,,,-0.02752636649383465,-0.05453879757244464,0.00012652960476590102,-0.0064950959608936825,-0.06617792327228332,-0.013335156962361507
11,euroc,V1_03_difficult,0.06312831276351392,,,0.015291139127346606,-0.001463138463947926,-0.0038457583215635504,0.005546507983817413,0.002656773848295468,0.0032830853283020702
12,euroc,V2_02_medium,0.06449371806896696,,,0.007455017297585392,0.026497464224434285,0.009110330417272034,-0.00703873307903449,0.02139344874458335,0.009546433327374851
13,euroc,V2_01_easy,0.07907606067940653,,,-0.01090948687630815,0.001837760537012387,0.0020206820550941955,0.002000205052874935,0.0005537658322291107,-0.003300228852213083
14,euroc,MH_01_easy,0.15426478987161305,,,-0.0007499790331277446,0.00921842332393488,4.602082265220271e-05,0.001162025195957152,0.00010386416345472262,-0.00019125380532037444
15,euroc,V1_03_difficult,0.03387140394656918,,,-0.02667503452187711,0.0347394047131451,-0.02101404510762863,0.025822449378071242,-0.011693209345970585,0.0046424813913252296
